"Cannot refund: missing Przelewy24 transaction data.","Cannot refund: missing Przelewy24 transaction data."
"Order #%s","Order #%s"
"Please complete the Przelewy24 payment before placing the order.","Please complete the Przelewy24 payment before placing the order."
"Przelewy24","Przelewy24"
"Przelewy24 API error: %s","Przelewy24 API error: %s"
"Przelewy24 connection error: %s","Przelewy24 connection error: %s"
"Przelewy24 Order ID","Przelewy24 Order ID"
"Przelewy24: Failed to register transaction. Response: %s","Przelewy24: Failed to register transaction. Response: %s"
"Refund for order #%s","Refund for order #%s"
"Session ID","Session ID"
"Statement","Statement"
"Unable to initialize payment. Please try again.","Unable to initialize payment. Please try again."
